,0,1,2,3,4,5
BALANCE,0.06774553838496984,0.8206820796252305,-0.28480698414475414,-0.16431985618203818,0.0666823886784374,0.16469401529379118
BALANCE_FREQUENCY,0.25168444749368624,0.334632324399918,-0.4939430805415697,0.21788286339700882,-0.4661842652855574,-0.20450618372851298
PURCHASES,0.8450369056718154,0.18021760469739376,0.1604226783000909,-0.15537321039238644,-0.06299434920854793,0.15250677403018909
INSTALLMENTS_PURCHASES,0.7957670124351727,0.08189508157110821,-0.022986026095334736,0.1404768239802689,0.315352064808769,0.026627410410829607
CASH_ADVANCE,-0.22615719474132337,0.8035662072433831,0.23107785678785106,0.1590406687253632,0.09767399457682266,-0.08820994755928849
PURCHASES_FREQUENCY,0.8198244650751155,-0.16993697633304453,-0.1207928858908821,0.3371489387148739,-0.0583938695609482,-0.05030885727165999
ONEOFF_PURCHASES_FREQUENCY,0.6258833572546992,0.08933189501887792,0.18517344405254815,-0.21217892650386505,-0.6186660992279859,0.13488840861293147
PURCHASES_INSTALLMENTS_FREQUENCY,0.7323586934404767,-0.16017568293378592,-0.21250189203663739,0.46144356609454246,0.2638240546191613,-0.11991828982579486
CASH_ADVANCE_FREQUENCY,-0.3343573748968638,0.7677609670741786,0.1368476755690707,0.35168459961588217,-0.13545708975707588,-0.11154672624229552
CASH_ADVANCE_TRX,-0.26230020283635125,0.780907820288596,0.1643545173732718,0.34452002084268485,-0.07724663520033413,-0.19075860913374518
PURCHASES_TRX,0.879839547729546,0.11991217159617931,0.010556774776458212,0.03497224611027695,-0.0888446576291854,0.07829721105618218
CREDIT_LIMIT,0.35276227402066784,0.5208100772138013,0.17789343244111563,-0.405377468131197,0.07959151268039644,0.037779872880732715
PAYMENTS,0.4245817463694634,0.559795715016557,0.382623967147364,-0.19142819549370357,0.1672422784470335,-0.08274898444516886
MINIMUM_PAYMENTS,0.10549918048928315,0.5334664957814093,-0.4771791889032522,-0.12534069868556377,0.33086053649108194,0.24397862359230849
PRC_FULL_PAYMENT,0.34548923638238804,-0.30393008907228874,0.5206080229205011,0.11537987937981628,0.14082225174018215,-0.2957028493176224
TENURE,0.1908467368928894,0.04466779101042042,-0.30282712403301765,-0.4975120244665517,0.04733755631364178,-0.7495432864247147
